Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,"Percent HHs with Income < $50,000",Data Time Period,Geographic Vintage,Data Source,Selected Location
Census Tract,39061007100,OH,39061007100,39061007100,34.11,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061007200,OH,39061007200,39061007200,59.06,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061007300,OH,39061007300,39061007300,60.52,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061007400,OH,39061007400,39061007400,35.37,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061007500,OH,39061007500,39061007500,29.04,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061007700,OH,39061007700,39061007700,81.73,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008000,OH,39061008000,39061008000,87.07,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008100,OH,39061008100,39061008100,63.19,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008201,OH,39061008201,39061008201,46.08,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008202,OH,39061008202,39061008202,52.48,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008300,OH,39061008300,39061008300,56.6,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008400,OH,39061008400,39061008400,57.96,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008501,OH,39061008501,39061008501,74.61,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008502,OH,39061008502,39061008502,96.64,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008601,OH,39061008601,39061008601,73.65,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008800,OH,39061008800,39061008800,72.2,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009200,OH,39061009200,39061009200,67.57,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009300,OH,39061009300,39061009300,78.33,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009400,OH,39061009400,39061009400,63.92,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009500,OH,39061009500,39061009500,56.39,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009600,OH,39061009600,39061009600,64.4,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009700,OH,39061009700,39061009700,63.26,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009800,OH,39061009800,39061009800,76.48,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009901,OH,39061009901,39061009901,38.15,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009902,OH,39061009902,39061009902,51.34,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010002,OH,39061010002,39061010002,67.69,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010003,OH,39061010003,39061010003,50.63,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010004,OH,39061010004,39061010004,57.21,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010005,OH,39061010005,39061010005,49.73,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010100,OH,39061010100,39061010100,51.38,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010201,OH,39061010201,39061010201,59.09,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010202,OH,39061010202,39061010202,37.72,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010300,OH,39061010300,39061010300,51.98,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010400,OH,39061010400,39061010400,44.87,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010500,OH,39061010500,39061010500,47.47,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010600,OH,39061010600,39061010600,32.83,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010700,OH,39061010700,39061010700,42.41,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010900,OH,39061010900,39061010900,64.78,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061011000,OH,39061011000,39061011000,71.54,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061011100,OH,39061011100,39061011100,33.64,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020401,OH,39061020401,39061020401,31.95,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020403,OH,39061020403,39061020403,16.89,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020404,OH,39061020404,39061020404,17.7,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020501,OH,39061020501,39061020501,16.57,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020502,OH,39061020502,39061020502,17.14,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020504,OH,39061020504,39061020504,11.01,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020505,OH,39061020505,39061020505,33.16,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020601,OH,39061020601,39061020601,23.52,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020603,OH,39061020603,39061020603,35.41,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020604,OH,39061020604,39061020604,28.57,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020701,OH,39061020701,39061020701,39.71,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020705,OH,39061020705,39061020705,26.68,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020707,OH,39061020707,39061020707,20.26,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020741,OH,39061020741,39061020741,46.04,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020742,OH,39061020742,39061020742,52.05,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020762,OH,39061020762,39061020762,35.75,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020763,OH,39061020763,39061020763,34.77,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020764,OH,39061020764,39061020764,41.59,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020802,OH,39061020802,39061020802,21.94,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020811,OH,39061020811,39061020811,30.82,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020812,OH,39061020812,39061020812,28.8,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020901,OH,39061020901,39061020901,37.55,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020902,OH,39061020902,39061020902,50.2,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021001,OH,39061021001,39061021001,31.72,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021002,OH,39061021002,39061021002,20.37,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021003,OH,39061021003,39061021003,23.87,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021101,OH,39061021101,39061021101,17.64,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021102,OH,39061021102,39061021102,20.35,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021201,OH,39061021201,39061021201,15.62,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021202,OH,39061021202,39061021202,23.76,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021302,OH,39061021302,39061021302,19.35,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021303,OH,39061021303,39061021303,20.38,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021304,OH,39061021304,39061021304,26.29,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021401,OH,39061021401,39061021401,44.93,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021421,OH,39061021421,39061021421,19.6,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021422,OH,39061021422,39061021422,33.71,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021501,OH,39061021501,39061021501,19.45,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021504,OH,39061021504,39061021504,32.32,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021505,OH,39061021505,39061021505,40.75,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021506,OH,39061021506,39061021506,33.7,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021508,OH,39061021508,39061021508,31.96,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021509,OH,39061021509,39061021509,48.93,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021571,OH,39061021571,39061021571,34.41,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021572,OH,39061021572,39061021572,47.37,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021602,OH,39061021602,39061021602,53.01,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021603,OH,39061021603,39061021603,33.11,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021604,OH,39061021604,39061021604,39.17,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021701,OH,39061021701,39061021701,44.95,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021702,OH,39061021702,39061021702,57.59,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021801,OH,39061021801,39061021801,54.5,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021802,OH,39061021802,39061021802,40.58,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021900,OH,39061021900,39061021900,47.28,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022000,OH,39061022000,39061022000,32.95,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022101,OH,39061022101,39061022101,24.41,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022102,OH,39061022102,39061022102,26.56,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022200,OH,39061022200,39061022200,27.31,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022301,OH,39061022301,39061022301,50.92,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022302,OH,39061022302,39061022302,23.09,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022400,OH,39061022400,39061022400,17.49,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022500,OH,39061022500,39061022500,36.88,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022601,OH,39061022601,39061022601,10.94,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022602,OH,39061022602,39061022602,15.75,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022700,OH,39061022700,39061022700,72.32,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023001,OH,39061023001,39061023001,41.05,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023002,OH,39061023002,39061023002,33.29,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023100,OH,39061023100,39061023100,8.87,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023201,OH,39061023201,39061023201,61.72,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023210,OH,39061023210,39061023210,20.9,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023222,OH,39061023222,39061023222,39.87,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023300,OH,39061023300,39061023300,6.09,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023400,OH,39061023400,39061023400,53.21,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023501,OH,39061023501,39061023501,16.21,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023521,OH,39061023521,39061023521,22.57,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023522,OH,39061023522,39061023522,30.86,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023600,OH,39061023600,39061023600,29.36,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023701,OH,39061023701,39061023701,27.07,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023702,OH,39061023702,39061023702,31.45,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023800,OH,39061023800,39061023800,51.3,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023901,OH,39061023901,39061023901,25.33,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023902,OH,39061023902,39061023902,7.93,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024001,OH,39061024001,39061024001,34.54,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024002,OH,39061024002,39061024002,22.21,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024100,OH,39061024100,39061024100,10.28,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024200,OH,39061024200,39061024200,22.71,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024301,OH,39061024301,39061024301,18.7,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024303,OH,39061024303,39061024303,26.34,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024322,OH,39061024322,39061024322,9.11,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024323,OH,39061024323,39061024323,21.4,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024324,OH,39061024324,39061024324,21.92,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024401,OH,39061024401,39061024401,16.94,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024402,OH,39061024402,39061024402,6.34,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024700,OH,39061024700,39061024700,31.79,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024800,OH,39061024800,39061024800,18.25,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024901,OH,39061024901,39061024901,46.25,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024903,OH,39061024903,39061024903,2.88,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024904,OH,39061024904,39061024904,7.67,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025001,OH,39061025001,39061025001,15.29,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025002,OH,39061025002,39061025002,20.86,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025101,OH,39061025101,39061025101,13.73,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025102,OH,39061025102,39061025102,23.83,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025103,OH,39061025103,39061025103,28.37,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025200,OH,39061025200,39061025200,55.83,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025300,OH,39061025300,39061025300,42.3,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025401,OH,39061025401,39061025401,51.49,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025402,OH,39061025402,39061025402,34.45,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025500,OH,39061025500,39061025500,51.47,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025600,OH,39061025600,39061025600,32.74,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025700,OH,39061025700,39061025700,63.77,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025800,OH,39061025800,39061025800,35.08,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026001,OH,39061026001,39061026001,13.75,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026002,OH,39061026002,39061026002,18.25,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026102,OH,39061026102,39061026102,53.17,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026103,OH,39061026103,39061026103,31.07,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026104,OH,39061026104,39061026104,33.43,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026200,OH,39061026200,39061026200,66.12,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026300,OH,39061026300,39061026300,86.32,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026400,OH,39061026400,39061026400,62.26,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026500,OH,39061026500,39061026500,36.09,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026600,OH,39061026600,39061026600,26.59,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026700,OH,39061026700,39061026700,49.86,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026800,OH,39061026800,39061026800,21.19,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026900,OH,39061026900,39061026900,85.22,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027000,OH,39061027000,39061027000,61.08,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027100,OH,39061027100,39061027100,71.27,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027200,OH,39061027200,39061027200,74.55,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027300,OH,39061027300,39061027300,14.22,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027400,OH,39061027400,39061027400,53.91,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027500,OH,39061027500,39061027500,15.03,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027600,OH,39061027600,39061027600,29.37,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027700,OH,39061027700,39061027700,39.23,2018-2022,2022,Census,"Hamilton (County, 2022)"
