Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Percent White Population,Data Time Period,Geographic Vintage,Data Source,Selected Location
Census Tract,39061011100,OH,39061011100,39061011100,44.45,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020401,OH,39061020401,39061020401,92.57,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020403,OH,39061020403,39061020403,93.68,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020404,OH,39061020404,39061020404,98.28,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020501,OH,39061020501,39061020501,86.75,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020502,OH,39061020502,39061020502,77.41,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020504,OH,39061020504,39061020504,71.69,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020505,OH,39061020505,39061020505,60.31,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020601,OH,39061020601,39061020601,95.92,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020603,OH,39061020603,39061020603,90.44,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020604,OH,39061020604,39061020604,88.87,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020701,OH,39061020701,39061020701,68.8,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020705,OH,39061020705,39061020705,47.05,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020707,OH,39061020707,39061020707,92.05,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020741,OH,39061020741,39061020741,47.94,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020742,OH,39061020742,39061020742,46.87,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020762,OH,39061020762,39061020762,61.18,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020763,OH,39061020763,39061020763,83.03,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020764,OH,39061020764,39061020764,50.1,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020802,OH,39061020802,39061020802,76.04,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020811,OH,39061020811,39061020811,69.17,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020812,OH,39061020812,39061020812,93.6,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020901,OH,39061020901,39061020901,76.43,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020902,OH,39061020902,39061020902,71.24,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021001,OH,39061021001,39061021001,88.12,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021002,OH,39061021002,39061021002,95.94,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021003,OH,39061021003,39061021003,92.71,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021101,OH,39061021101,39061021101,98.33,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021102,OH,39061021102,39061021102,98.98,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021201,OH,39061021201,39061021201,94.48,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021202,OH,39061021202,39061021202,89.28,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021302,OH,39061021302,39061021302,92.72,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021303,OH,39061021303,39061021303,91.57,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021304,OH,39061021304,39061021304,94.84,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021401,OH,39061021401,39061021401,89.88,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021421,OH,39061021421,39061021421,92.55,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021422,OH,39061021422,39061021422,70.59,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021501,OH,39061021501,39061021501,37.78,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021504,OH,39061021504,39061021504,32.83,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021505,OH,39061021505,39061021505,22.86,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021506,OH,39061021506,39061021506,24.55,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021508,OH,39061021508,39061021508,61.58,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021509,OH,39061021509,39061021509,39.16,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021571,OH,39061021571,39061021571,42.57,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021572,OH,39061021572,39061021572,28.49,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021602,OH,39061021602,39061021602,17.08,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021603,OH,39061021603,39061021603,40.47,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021604,OH,39061021604,39061021604,33.7,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021701,OH,39061021701,39061021701,62.32,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021702,OH,39061021702,39061021702,44.3,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021801,OH,39061021801,39061021801,32.11,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021802,OH,39061021802,39061021802,35.9,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021900,OH,39061021900,39061021900,48.73,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022000,OH,39061022000,39061022000,74.15,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022101,OH,39061022101,39061022101,59.83,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022102,OH,39061022102,39061022102,52.31,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022200,OH,39061022200,39061022200,59.1,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022301,OH,39061022301,39061022301,59.52,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022302,OH,39061022302,39061022302,85.21,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022400,OH,39061022400,39061022400,74.7,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022500,OH,39061022500,39061022500,34.33,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022601,OH,39061022601,39061022601,84.31,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022602,OH,39061022602,39061022602,64.18,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022700,OH,39061022700,39061022700,7.9,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023001,OH,39061023001,39061023001,61.87,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023002,OH,39061023002,39061023002,88.89,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023100,OH,39061023100,39061023100,81.56,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023201,OH,39061023201,39061023201,86.26,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023210,OH,39061023210,39061023210,77.96,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023222,OH,39061023222,39061023222,77.56,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023300,OH,39061023300,39061023300,83.08,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023400,OH,39061023400,39061023400,28.87,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023501,OH,39061023501,39061023501,77.49,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023521,OH,39061023521,39061023521,67.78,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023522,OH,39061023522,39061023522,75.51,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023600,OH,39061023600,39061023600,95.66,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023701,OH,39061023701,39061023701,95.38,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023702,OH,39061023702,39061023702,95.2,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023800,OH,39061023800,39061023800,45.93,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023901,OH,39061023901,39061023901,73.74,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023902,OH,39061023902,39061023902,89.38,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024001,OH,39061024001,39061024001,71.41,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024002,OH,39061024002,39061024002,81.68,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024100,OH,39061024100,39061024100,89.24,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024200,OH,39061024200,39061024200,81.58,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024301,OH,39061024301,39061024301,70.44,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024303,OH,39061024303,39061024303,86.91,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024322,OH,39061024322,39061024322,82.77,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024323,OH,39061024323,39061024323,65.7,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024324,OH,39061024324,39061024324,86.84,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024401,OH,39061024401,39061024401,84.22,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024402,OH,39061024402,39061024402,84.95,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024700,OH,39061024700,39061024700,92.53,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024800,OH,39061024800,39061024800,93.75,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024901,OH,39061024901,39061024901,95.73,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024903,OH,39061024903,39061024903,92.83,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024904,OH,39061024904,39061024904,92.51,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025001,OH,39061025001,39061025001,88.63,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025002,OH,39061025002,39061025002,93.78,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025101,OH,39061025101,39061025101,88.69,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025102,OH,39061025102,39061025102,87.78,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025103,OH,39061025103,39061025103,89.59,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025200,OH,39061025200,39061025200,81.36,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025300,OH,39061025300,39061025300,69.48,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025401,OH,39061025401,39061025401,85.65,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025402,OH,39061025402,39061025402,91.59,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025500,OH,39061025500,39061025500,74.71,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025600,OH,39061025600,39061025600,79.08,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025700,OH,39061025700,39061025700,87.33,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025800,OH,39061025800,39061025800,86.26,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026001,OH,39061026001,39061026001,95.54,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026002,OH,39061026002,39061026002,96.13,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026102,OH,39061026102,39061026102,92.39,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026103,OH,39061026103,39061026103,92.79,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026104,OH,39061026104,39061026104,97.13,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026200,OH,39061026200,39061026200,95.39,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026300,OH,39061026300,39061026300,50.35,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026400,OH,39061026400,39061026400,23.75,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026500,OH,39061026500,39061026500,60.49,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026600,OH,39061026600,39061026600,83.08,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026700,OH,39061026700,39061026700,24.52,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026800,OH,39061026800,39061026800,86.61,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026900,OH,39061026900,39061026900,24.83,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027000,OH,39061027000,39061027000,8.28,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027100,OH,39061027100,39061027100,8.07,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027200,OH,39061027200,39061027200,44.76,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027300,OH,39061027300,39061027300,92.96,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027400,OH,39061027400,39061027400,62.38,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027500,OH,39061027500,39061027500,91.19,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027600,OH,39061027600,39061027600,67.26,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027700,OH,39061027700,39061027700,71.56,2018-2022,2022,Census,"Hamilton (County, 2022)"
